City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.7,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
13,Hithadhoo,MV,82.44,few clouds,-0.6,73.0833,Scoop Guest House
16,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
19,Maningrida,AU,76.87,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
22,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
23,Ribeira Grande,PT,75.6,light intensity shower rain,38.5167,-28.7,Quinta da Meia Eira
37,Fukue,JP,80.47,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
44,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
54,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
55,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Pousada Camboinha
59,Cabo San Lucas,MX,85.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Atuona,PF,77.02,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
65,Dingle,PH,76.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Moctezuma,MX,80.49,clear sky,29.8,-109.6667,Hotel Lobohombo
78,Samarai,PG,81.64,broken clouds,-10.6167,150.6667,Nuli Sapi
80,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
81,Tura,IN,75.22,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
90,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
95,Lhokseumawe,ID,78.04,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
96,Natal,BR,88.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
101,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
102,Tual,ID,80.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
104,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
107,Doka,SD,77.65,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
108,Marzuq,YE,86.11,scattered clouds,14.4,46.4667,حيد القفلة
110,Elizabeth City,US,77.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
115,Mansa,IN,85.41,scattered clouds,29.9833,75.3833,STARiHOTEL Mansa
116,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Iturama,BR,81.52,clear sky,-19.7281,-50.1956,República DominaCana
123,Houma,US,84.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
126,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
130,Harlingen,US,86.94,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
131,Faya,SA,75.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
132,Gombong,ID,76.78,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
134,Myitkyina,MM,75.34,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
138,Laibin,CN,82.85,few clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
139,Kibala,TD,76.95,light rain,9.1104,18.3463,Prasant Hotels
141,Mayumba,GA,75.09,light rain,-3.432,10.6554,LIKWALE LODGE
143,Srandakan,ID,77.27,overcast clouds,-7.9386,110.2506,Puri Brata
144,Bajos De Haina,DO,88.32,scattered clouds,18.4154,-70.0332,Familia García Santana
148,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
150,Kudahuvadhoo,MV,82.06,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
154,San Patricio,US,88.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
156,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
157,Katsuura,JP,78.96,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
161,Yenagoa,NG,81.39,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
163,Guilin,CN,78.91,clear sky,25.2819,110.2864,Grand 0773 Hotel
164,Smithville,US,77.86,light rain,39.3869,-94.5811,Crows Creek Campground
168,Touros,BR,85.08,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
170,Manavalakurichi,IN,79.11,overcast clouds,8.1333,77.3,Jebinrio home
180,Planaltina,BR,90.0,clear sky,-15.4528,-47.6142,Afrodite Motel Planaltina GO
184,Lorengau,PG,81.41,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
186,Los Llanos De Aridane,ES,76.75,few clouds,28.6585,-17.9182,Valle Aridane
192,San Andres,CO,86.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
194,Camacha,PT,76.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
195,Pundaguitan,PH,84.15,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
196,Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Parbhani,IN,77.58,moderate rain,19.2667,76.7833,Hotel Radhika Place City Palace
202,Namatanai,PG,78.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
204,Darnah,LY,78.58,clear sky,32.767,22.6367,فندق الفردوس
210,Mana,GF,87.39,clear sky,5.6592,-53.7767,LE SAMANA
211,Ponta Do Sol,PT,81.23,light rain,32.6667,-17.1,Hotel do Campo
212,Sao Filipe,CV,79.54,few clouds,14.8961,-24.4956,Hotel Xaguate
217,Dillon,US,79.88,clear sky,34.4166,-79.3712,Dillon Express Inn
219,Uribia,CO,88.27,overcast clouds,11.7139,-72.266,Hotel Uribia
220,Worthington,US,76.66,overcast clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
223,Casa Grande,US,81.52,clear sky,32.8795,-111.7573,MainStay Suites Extended Stay Hotel Casa Grande
224,Houston,US,88.3,scattered clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
225,Faanui,PF,78.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
227,Salalah,OM,79.54,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
231,Nirmal,IN,75.0,light rain,19.1,78.35,Hotel Mayuri
232,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
233,Rio Grande City,US,85.87,broken clouds,26.3798,-98.8203,La Borde House
234,Bitam,GA,77.02,light rain,2.076,11.5007,HOTEL JEANNE YEBE BITAM
240,Jabinyanah,TN,87.6,broken clouds,35.035,10.9081,maison belmabrouk
241,Xixiang,CN,78.42,few clouds,35.1628,112.865,Hongchang Rest House
242,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
244,Hamilton,US,77.92,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
247,Mayo,US,78.49,broken clouds,38.8876,-76.5119,Resorts Resource Group International
248,Soyo,AO,76.71,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
249,Nkowakowa,ZA,89.85,clear sky,-23.8878,30.2871,Moytel 966A Guest House & Spa
252,Matara,LK,78.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
253,Gobabis,,85.46,clear sky,-22.45,18.9667,Goba Lodge
255,Kavaratti,IN,80.82,overcast clouds,10.5669,72.642,Green leaf
259,Almeria,ES,80.76,clear sky,37.1667,-2.3333,Casa Rural El Laurel
261,Mudon,MM,76.39,overcast clouds,16.2578,97.7164,Motel Mudon
262,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
265,Spring Valley,US,76.37,clear sky,36.108,-115.245,Westgate Flamingo Bay Resort
267,Trairi,BR,87.35,overcast clouds,-3.2778,-39.2689,janelas do mar
270,Coahuayana,MX,76.23,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
271,Balkanabat,TM,82.35,clear sky,39.5108,54.3671,Nebitchi Hotel
