City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Isla Vista,US,34.4133,-119.861,73.35,85,0,1.01,clear sky
1,Mar Del Plata,AR,-38.0023,-57.5575,62.62,87,0,25.01,clear sky
2,Fortuna,US,40.5982,-124.1573,52.36,89,100,2.15,overcast clouds
3,Butaritari,KI,3.0707,172.7902,81.7,68,41,11.95,scattered clouds
4,Hami,CN,42.8,93.45,72.43,14,56,6.96,broken clouds
5,Fort Nelson,CA,58.8053,-122.7002,44.19,81,75,0.0,broken clouds
6,Namibe,AO,-15.1961,12.1522,72.23,78,75,13.8,broken clouds
7,Hofn,IS,64.2539,-15.2082,46.56,84,100,7.85,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,40.62,75,40,24.16,scattered clouds
9,Chokurdakh,RU,70.6333,147.9167,32.86,73,81,6.62,broken clouds
10,Kruisfontein,ZA,-34.0033,24.7314,61.88,72,92,13.69,overcast clouds
11,Ngaoundere,CM,7.3167,13.5833,70.59,82,98,5.64,overcast clouds
12,Thompson,CA,55.7435,-97.8558,48.36,87,40,5.75,scattered clouds
13,Hithadhoo,MV,-0.6,73.0833,82.44,69,11,7.61,few clouds
14,Lolodorf,CM,3.2333,10.7333,73.29,97,100,4.21,moderate rain
15,Albany,US,42.6001,-73.9662,62.42,67,100,1.66,overcast clouds
16,Boa Vista,BR,2.8197,-60.6733,85.98,62,75,4.61,broken clouds
17,Severo-Kurilsk,RU,50.6789,156.125,49.35,89,15,13.38,few clouds
18,Rikitea,PF,-23.1203,-134.9692,72.32,75,0,18.68,clear sky
19,Maningrida,AU,-12.0667,134.2667,76.87,87,100,1.28,overcast clouds
20,Port Elizabeth,ZA,-33.918,25.5701,64.09,81,40,16.11,scattered clouds
21,Pacific Grove,US,36.6177,-121.9166,59.09,83,100,11.01,overcast clouds
22,Palembang,ID,-2.9167,104.7458,78.89,83,20,2.3,few clouds
23,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,16.11,light intensity shower rain
24,Port Alfred,ZA,-33.5906,26.891,63.18,92,73,4.0,broken clouds
25,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,60,74,17.9,broken clouds
26,Yellowknife,CA,62.456,-114.3525,45.12,100,100,10.36,overcast clouds
27,Narsaq,GL,60.9167,-46.05,57.42,75,100,4.88,light rain
28,Mataura,NZ,-46.1927,168.8643,36.81,97,88,3.44,overcast clouds
29,Ancud,CL,-41.8697,-73.8203,45.23,51,3,6.02,clear sky
30,Pevek,RU,69.7008,170.3133,33.66,99,100,19.53,light snow
31,Kapaa,US,22.0752,-159.319,71.92,83,0,6.91,clear sky
32,Torbay,CA,47.6666,-52.7314,59.29,78,75,19.57,broken clouds
33,Flinders,AU,-34.5833,150.8552,59.18,61,20,8.99,few clouds
34,Hajnowka,PL,52.7433,23.5812,57.02,79,100,1.01,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,69.76,86,79,4.0,broken clouds
