City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Nikolskoye,RU,2022-09-14 12:25:39,59.7035,30.7861,54.79,75,100,7.54,RU
1,Hadzici,BA,2022-09-14 12:25:39,43.8222,18.2067,78.13,47,0,8.05,BA
2,Zhezkazgan,KZ,2022-09-14 12:25:40,47.8043,67.7144,67.98,17,0,20.13,KZ
3,Sakaiminato,JP,2022-09-14 12:25:40,35.55,133.2333,76.98,88,40,19.57,JP
4,Bredasdorp,ZA,2022-09-14 12:25:41,-34.5322,20.0403,83.62,22,0,10.49,ZA
5,Lazaro Cardenas,MX,2022-09-14 12:23:48,17.9583,-102.2,76.06,86,99,4.52,MX
6,Waddan,LY,2022-09-14 12:25:41,29.1614,16.139,90.46,28,0,2.95,LY
7,Chimbote,PE,2022-09-14 12:25:42,-9.0853,-78.5783,60.46,84,96,6.67,PE
8,Kenai,US,2022-09-14 12:25:43,60.5544,-151.2583,45.09,97,20,3.44,US
9,Yellowknife,CA,2022-09-14 12:25:00,62.456,-114.3525,41.56,93,20,4.61,CA
10,Punta Arenas,CL,2022-09-14 12:21:07,-53.15,-70.9167,33.82,80,0,11.5,CL
11,Walvis Bay,NA,2022-09-14 12:20:52,-22.9575,14.5053,63.55,67,40,8.05,NA
12,Harper,LR,2022-09-14 12:25:44,4.375,-7.7169,79.12,75,100,10.29,LR
13,Zatoka,UA,2022-09-14 12:25:45,46.0725,30.4654,69.06,54,41,16.31,UA
14,Cape Town,ZA,2022-09-14 12:20:56,-33.9258,18.4232,82.81,42,0,10.36,ZA
15,Bluff,NZ,2022-09-14 12:22:13,-46.6,168.3333,46.8,71,86,23.4,NZ
16,Cherskiy,RU,2022-09-14 12:25:46,68.75,161.3,36.3,90,100,5.5,RU
17,Saint-Philippe,RE,2022-09-14 12:25:46,-21.3585,55.7679,76.59,73,90,8.81,RE
18,New Norfolk,AU,2022-09-14 12:25:47,-42.7826,147.0587,45.9,93,0,3.04,AU
19,Albany,US,2022-09-14 12:25:47,42.6001,-73.9662,62.4,89,0,1.01,US
20,Okha,RU,2022-09-14 12:25:48,53.5739,142.9478,48.65,87,50,10.63,RU
21,Alpine,US,2022-09-14 12:25:48,32.835,-116.7664,65.93,91,100,0.0,US
22,Faanui,PF,2022-09-14 12:25:49,-16.4833,-151.75,78.13,73,90,22.5,PF
23,Kuryk,KZ,2022-09-14 12:25:49,43.2,51.65,78.12,33,34,10.83,KZ
24,Port Elizabeth,ZA,2022-09-14 12:21:37,-33.918,25.5701,73.31,59,0,12.66,ZA
25,Lasa,IT,2022-09-14 12:25:50,46.6166,10.7002,67.69,70,100,6.2,IT
26,Atuona,PF,2022-09-14 12:25:51,-9.8,-139.0333,75.87,75,13,15.08,PF
27,Portland,US,2022-09-14 12:25:06,45.5234,-122.6762,62.82,82,83,1.86,US
28,Amga,RU,2022-09-14 12:25:51,60.8953,131.9608,39.36,81,100,15.12,RU
29,Rikitea,PF,2022-09-14 12:23:12,-23.1203,-134.9692,70.11,80,100,14.25,PF
30,Canyon,US,2022-09-14 12:25:52,34.9803,-101.9188,68.85,68,79,10.76,US
